2,PC,M,HU	11.3 	9.4 b	5.9 
2,PC,M,IE	: 	4.7 	: 
2,PC,M,IT	17.2 	14.0 	19.6 
2,PC,M,LT	36.7 	40.9 	41.2 
2,PC,M,LU	29.4 b	24.9 	: 
2,PC,M,LV	45.5 	44.1 	37.9 
2,PC,M,MK	22.0 	: 	: 
2,PC,M,MT	43.5 	46.8 	43.8 
2,PC,M,NL	42.1 	44.0 	: 
2,PC,M,NO	20.9 	23.1 	29.2 
2,PC,M,PL	17.7 	17.1 	17.3 
2,PC,M,PT	23.7 	19.9 	16.2 
2,PC,M,RO	9.3 	: 	9.5 
2,PC,M,RS	20.9 	11.2 	: 
2,PC,M,SE	30.5 b	29.9 	31.1 
2,PC,M,SI	25.0 	31.2 	37.8 
2,PC,M,SK	35.2 	32.1 	36.5 
2,PC,M,TR	: 	3.1 	3.5 
2,PC,M,UK	9.0 b	: 	: 
2,PC,T,AL	10.9 	: 	: 
2,PC,T,AT	23.3 	18.9 	20.2 
2,PC,T,BA	7.5 	: 	: 
2,PC,T,BE	33.5 	23.5 b	26.1 
2,PC,T,BG	13.7 	11.7 b	21.2 
2,PC,T,CH	35.5 	34.2 	: 
2,PC,T,CY	20.3 	19.2 	17.9 
2,PC,T,CZ	26.9 	22.4 	24.7 
2,PC,T,DE	26.6 	26.3 	21.5 
2,PC,T,DK	41.2 	43.1 	38.5 
2,PC,T,EA19	23.5 	21.5 	20.5 
2,PC,T,EE	39.1 	35.1 	35.3 
2,PC,T,EL	15.3 	12.2 	9.9 
2,PC,T,ES	14.3 	12.6 	13.6 
2,PC,T,EU28	21.0 	21.3 	17.6 
2,PC,T,FI	31.6 	29.5 	29.9 
2,PC,T,FR	20.1 	19.2 b	18.3 
2,PC,T,HR	21.8 	: 	21.3 
2,PC,T,HU	11.1 	9.2 b	6.3 
2,PC,T,IE	: 	5.2 	: 
2,PC,T,IT	20.1 	16.6 	20.9 
2,PC,T,LT	39.0 	44.7 	45.8 
2,PC,T,LU	27.1 b	22.0 	: 
2,PC,T,LV	49.3 	46.1 	42.9 
2,PC,T,MK	20.0 	: 	: 
2,PC,T,MT	43.2 	45.7 	42.8 
2,PC,T,NL	37.1 	37.1 	: 
2,PC,T,NO	21.5 	23.9 	28.6 
2,PC,T,PL	19.2 	19.2 	19.6 
2,PC,T,PT	24.8 	20.5 	17.5 
2,PC,T,RO	10.2 	: 	9.9 
2,PC,T,RS	21.6 	12.3 	: 
2,PC,T,SE	31.7 b	29.7 	31.0 
2,PC,T,SI	25.7 	32.6 	37.2 
2,PC,T,SK	35.7 	33.5 	35.4 
2,PC,T,TR	: 	2.3 	2.6 
2,PC,T,UK	9.6 b	: 	: 
GE3,PC,F,AL	3.1 	: 	: 
GE3,PC,F,AT	16.1 	10.6 	10.0 
GE3,PC,F,BA	1.0 u	: 	: 
GE3,PC,F,BE	28.5 	19.4 b	24.4 
GE3,PC,F,BG	3.0 	2.7 b	4.4 
GE3,PC,F,CH	39.9 	35.6 	: 
GE3,PC,F,CY	8.6 	10.2 	9.6 
GE3,PC,F,CZ	7.9 	7.5 	9.0 
GE3,PC,F,DE	12.1 	11.4 	9.2 
GE3,PC,F,DK	22.9 	23.6 	13.7 
GE3,PC,F,EA19	10.7 	9.9 	9.1 
GE3,PC,F,EE	26.2 	27.6 	22.8 
GE3,PC,F,EL	3.5 	3.5 	2.7 
GE3,PC,F,ES	4.8 	4.2 	3.8 
GE3,PC,F,EU28	8.9 	9.6 	7.2 
GE3,PC,F,FI	51.3 	57.1 	46.3 
GE3,PC,F,FR	4.5 	5.0 b	4.8 
GE3,PC,F,HR	6.5 	: 	8.1 
GE3,PC,F,HU	3.0 	1.9 b	1.4 u
GE3,PC,F,IE	: 	1.3 	: 
GE3,PC,F,IT	5.6 	4.0 	6.8 
GE3,PC,F,LT	14.1 	12.7 	19.9 
GE3,PC,F,LU	53.7 b	74.5 	: 
GE3,PC,F,LV	12.3 	14.2 	12.9 
GE3,PC,F,MK	6.8 	: 	: 
GE3,PC,F,MT	20.5 	22.5 	27.7 
GE3,PC,F,NL	20.3 	25.7 	: 
GE3,PC,F,NO	42.8 	43.8 	46.6 
GE3,PC,F,PL	2.7 	4.1 	4.3 
GE3,PC,F,PT	14.0 	10.5 	7.7 
GE3,PC,F,RO	0.9 u	: 	1.2 
GE3,PC,F,RS	19.2 	2.3 	: 
GE3,PC,F,SE	19.9 b	33.2 	20.4 
GE3,PC,F,SI	34.9 	44.4 	33.0 
GE3,PC,F,SK	30.8 	22.5 	34.5 
GE3,PC,F,TR	: 	: 	0.2 u
GE3,PC,F,UK	5.1 b	: 	: 
GE3,PC,M,AL	3.3 u	: 	: 
GE3,PC,M,AT	10.7 	6.9 	8.2 
GE3,PC,M,BA	0.4 u	: 	: 
GE3,PC,M,BE	25.3 	21.8 b	26.4 
GE3,PC,M,BG	3.6 	2.9 b	5.0 
GE3,PC,M,CH	33.1 	30.2 	: 
GE3,PC,M,CY	5.2 	5.5 	6.6 
GE3,PC,M,CZ	7.0 	6.7 	8.5 
GE3,PC,M,DE	8.8 	9.3 	8.1 
GE3,PC,M,DK	26.3 	25.9 	13.5 
GE3,PC,M,EA19	9.1 	8.7 	8.5 
GE3,PC,M,EE	25.2 	24.9 	18.2 
GE3,PC,M,EL	1.8 u	2.4 u	1.2 u
GE3,PC,M,ES	5.5 	4.7 	4.9 
GE3,PC,M,EU28	7.9 	8.5 	6.8 
GE3,PC,M,FI	38.6 	41.4 	29.7 
GE3,PC,M,FR	4.7 	4.1 b	4.2 
GE3,PC,M,HR	5.8 	: 	7.1 
GE3,PC,M,HU	2.3 	1.5 b	1.3 u
GE3,PC,M,IE	: 	1.3 	: 
GE3,PC,M,IT	3.1 	3.4 	6.5 
GE3,PC,M,LT	13.2 	11.1 	20.8 
GE3,PC,M,LU	48.8 b	69.4 	: 
GE3,PC,M,LV	13.2 	12.0 	11.0 
GE3,PC,M,MK	12.5 	: 	: 
GE3,PC,M,MT	12.0 	14.7 	18.0 
GE3,PC,M,NL	21.0 	21.8 	: 
GE3,PC,M,NO	44.6 	50.0 	45.6 
GE3,PC,M,PL	2.9 	4.0 	3.8 
GE3,PC,M,PT	16.7 	12.5 	10.2 
GE3,PC,M,RO	0.9 u	: 	1.3 
GE3,PC,M,RS	21.8 	3.5 u	: 
GE3,PC,M,SE	18.1 b	27.9 	18.5 
GE3,PC,M,SI	40.4 	45.3 	36.2 
GE3,PC,M,SK	25.2 	20.6 	30.6 
GE3,PC,M,TR	: 	: 	0.5 
GE3,PC,M,UK	5.0 b	: 	: 
GE3,PC,T,AL	3.2 	: 	: 
GE3,PC,T,AT	13.4 	8.8 	9.1 
GE3,PC,T,BA	0.7 	: 	: 
GE3,PC,T,BE	26.9 	20.6 b	25.4 
GE3,PC,T,BG	3.3 	2.8 b	4.7 
GE3,PC,T,CH	36.5 	32.9 	: 
GE3,PC,T,CY	7.0 	8.0 	8.1 
GE3,PC,T,CZ	7.4 	7.1 	8.8 
GE3,PC,T,DE	10.4 	10.3 	8.7 
GE3,PC,T,DK	24.6 	24.7 	13.6 
GE3,PC,T,EA19	9.9 	9.3 	8.8 
GE3,PC,T,EE	25.7 	26.3 	20.6 
